"URL","str1","Date","str2","Response body","Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)"
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-20",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-20,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-20","all","daily",121,46051,"2016-10-20","23:59","2017-01-05T19:22:02.342+04:00",46051,56,"2016-10-20",true,"SUPERZONE","System Campus","5-1440",,46051,56,0,"2016-10-20","System Campus","00:00",46051
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-19",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-19,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-19","all","daily",233,40628,"2016-10-19","23:59","2017-01-05T19:22:02.342+04:00",40628,56,"2016-10-19",true,"SUPERZONE","System Campus","5-1440",,40628,56,0,"2016-10-19","System Campus","00:00",40628
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-18",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-18,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-18","all","daily",123,40432,"2016-10-18","23:59","2017-01-05T19:22:02.342+04:00",40432,56,"2016-10-18",true,"SUPERZONE","System Campus","5-1440",,40432,56,0,"2016-10-18","System Campus","00:00",40432
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-17",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-17,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-17","all","daily",122,39059,"2016-10-17","23:59","2017-01-05T19:22:02.342+04:00",39059,56,"2016-10-17",true,"SUPERZONE","System Campus","5-1440",,39059,56,0,"2016-10-17","System Campus","00:00",39059
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-16",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-16,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-16","all","daily",125,39257,"2016-10-16","23:59","2017-01-05T19:22:02.342+04:00",39257,56,"2016-10-16",true,"SUPERZONE","System Campus","5-1440",,39257,56,0,"2016-10-16","System Campus","00:00",39257
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-15",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-15,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-15","all","daily",116,50337,"2016-10-15","23:59","2017-01-05T19:22:02.342+04:00",50337,56,"2016-10-15",true,"SUPERZONE","System Campus","5-1440",,50337,56,0,"2016-10-15","System Campus","00:00",50337
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-14",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-14,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-14","all","daily",119,51883,"2016-10-14","23:59","2017-01-05T19:22:02.342+04:00",51883,56,"2016-10-14",true,"SUPERZONE","System Campus","5-1440",,51883,56,0,"2016-10-14","System Campus","00:00",51883
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-13",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-13,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-13","all","daily",111,43659,"2016-10-13","23:59","2017-01-05T19:22:02.342+04:00",43659,56,"2016-10-13",true,"SUPERZONE","System Campus","5-1440",,43659,56,0,"2016-10-13","System Campus","00:00",43659
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-12",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-12,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-12","all","daily",121,39210,"2016-10-12","23:59","2017-01-05T19:22:02.342+04:00",39210,56,"2016-10-12",true,"SUPERZONE","System Campus","5-1440",,39210,56,0,"2016-10-12","System Campus","00:00",39210
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-11",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-11,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-11","all","daily",118,41670,"2016-10-11","23:59","2017-01-05T19:22:02.342+04:00",41670,56,"2016-10-11",true,"SUPERZONE","System Campus","5-1440",,41670,56,0,"2016-10-11","System Campus","00:00",41670
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-10",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-10,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-10","all","daily",117,40117,"2016-10-10","23:59","2017-01-05T19:22:02.342+04:00",40117,56,"2016-10-10",true,"SUPERZONE","System Campus","5-1440",,40117,56,0,"2016-10-10","System Campus","00:00",40117
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-09",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-09,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-09","all","daily",120,44993,"2016-10-09","23:59","2017-01-05T19:22:02.342+04:00",44993,56,"2016-10-09",true,"SUPERZONE","System Campus","5-1440",,44993,56,0,"2016-10-09","System Campus","00:00",44993
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-08",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-08,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-08","all","daily",117,52592,"2016-10-08","23:59","2017-01-05T19:22:02.342+04:00",52592,56,"2016-10-08",true,"SUPERZONE","System Campus","5-1440",,52592,56,0,"2016-10-08","System Campus","00:00",52592
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-07",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-07,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-07","all","daily",128,54889,"2016-10-07","23:59","2017-01-05T19:22:02.342+04:00",54889,56,"2016-10-07",true,"SUPERZONE","System Campus","5-1440",,54889,56,0,"2016-10-07","System Campus","00:00",54889
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-06",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-06,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-06","all","daily",126,47702,"2016-10-06","23:59","2017-01-05T19:22:02.342+04:00",47702,56,"2016-10-06",true,"SUPERZONE","System Campus","5-1440",,47702,56,0,"2016-10-06","System Campus","00:00",47702
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-05",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-05,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-05","all","daily",133,43625,"2016-10-05","23:59","2017-01-05T19:22:02.342+04:00",43625,56,"2016-10-05",true,"SUPERZONE","System Campus","5-1440",,43625,56,0,"2016-10-05","System Campus","00:00",43625
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-04",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-04,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-04","all","daily",129,45821,"2016-10-04","23:59","2017-01-05T19:22:02.342+04:00",45821,56,"2016-10-04",true,"SUPERZONE","System Campus","5-1440",,45821,56,0,"2016-10-04","System Campus","00:00",45821
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-03",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-03,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-03","all","daily",125,43985,"2016-10-03","23:59","2017-01-05T19:22:02.342+04:00",43985,56,"2016-10-03",true,"SUPERZONE","System Campus","5-1440",,43985,56,0,"2016-10-03","System Campus","00:00",43985
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-02",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-02,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-02","all","daily",127,54342,"2016-10-02","23:59","2017-01-05T19:22:02.342+04:00",54342,56,"2016-10-02",true,"SUPERZONE","System Campus","5-1440",,54342,56,0,"2016-10-02","System Campus","00:00",54342
