"Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)","id (#2)","startDate (#2)","hasChildren (#1)","level (#1)","area (#1)","dwell (#1)","name (#2)","value (#1)"
200,"application/json","00:00","2016-10-12","all","daily",146,100458,"2016-10-12","23:59","2017-01-05T19:30:59.476+04:00",100458,2477,"2016-10-12",true,"SUPERZONE","System Campus","5-1440",,100458,2477,0,"2016-10-12","System Campus","00:00",100458,,,,,,,,
200,"application/json","00:00","2016-10-11","all","daily",212,90281,"2016-10-11","23:59","2017-01-05T19:30:59.476+04:00",90281,2477,"2016-10-11",true,"SUPERZONE","System Campus","5-1440",,90281,2477,0,"2016-10-11","System Campus","00:00",90281,,,,,,,,
200,"application/json","00:00","2016-10-10","all","daily",142,101708,"2016-10-10","23:59","2017-01-05T19:30:59.476+04:00",101708,2477,"2016-10-10",true,"SUPERZONE","System Campus","5-1440",,101708,2477,0,"2016-10-10","System Campus","00:00",101708,,,,,,,,
200,"application/json","00:00","2016-10-09","all","daily",159,99883,"2016-10-09","23:59","2017-01-05T19:30:59.476+04:00",99883,2477,"2016-10-09",true,"SUPERZONE","System Campus","5-1440",,99883,2477,0,"2016-10-09","System Campus","00:00",99883,,,,,,,,
200,"application/json","00:00","2016-10-08","all","daily",277,110213,"2016-10-08","23:59","2017-01-05T19:30:59.476+04:00",110213,2477,"2016-10-08",true,"SUPERZONE","System Campus","5-1440",,110213,2477,0,"2016-10-08","System Campus","00:00",110213,,,,,,,,
200,"application/json","00:00","2016-10-07","all","daily",140,108690,"2016-10-07","23:59","2017-01-05T19:30:59.476+04:00",108690,2477,"2016-10-07",true,"SUPERZONE","System Campus","5-1440",,108690,2477,0,"2016-10-07","System Campus","00:00",108690,,,,,,,,
200,"application/json","00:00","2016-10-06","all","daily",403,106379,"2016-10-06","23:59","2017-01-05T19:45:59.476+04:00",106379,2477,"2016-10-06",true,"SUPERZONE","System Campus","5-1440",,106379,2477,0,"2016-10-06","System Campus","00:00",106379,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"application/json","00:00","2016-10-02","all","daily",141,106621,"2016-10-02","23:59","2017-01-05T19:45:59.476+04:00",106621,2477,"2016-10-02",true,"SUPERZONE","System Campus","5-1440",,106621,2477,0,"2016-10-02","System Campus","00:00",106621,,,,,,,,
200,"application/json","00:00","2016-10-01","all","daily",572,112793,"2016-10-01","23:59","2017-01-05T19:45:59.476+04:00",112793,2477,"2016-10-01",true,"SUPERZONE","System Campus","5-1440",,112793,2477,0,"2016-10-01","System Campus","00:00",112793,,,,,,,,
200,"application/json","00:00","2016-09-30","all","daily",138,110295,"2016-09-30","23:59","2017-01-05T19:45:59.476+04:00",110295,2477,"2016-09-30",true,"SUPERZONE","System Campus","5-1440",,110295,2477,0,"2016-09-30","System Campus","00:00",110295,,,,,,,,
200,"application/json","00:00","2016-09-29","all","daily",145,100776,"2016-09-29","23:59","2017-01-05T19:45:59.476+04:00",100776,2477,"2016-09-29",true,"SUPERZONE","System Campus","5-1440",,100776,2477,0,"2016-09-29","System Campus","00:00",100776,,,,,,,,
200,"application/json","00:00","2016-09-28","all","daily",155,94800,"2016-09-28","23:59","2017-01-05T19:45:59.476+04:00",94800,2477,"2016-09-28",true,"SUPERZONE","System Campus","5-1440",,94800,2477,0,"2016-09-28","System Campus","00:00",94800,,,,,,,,
200,"application/json","00:00","2016-09-27","all","daily",145,95158,"2016-09-27","23:59","2017-01-05T19:45:59.476+04:00",95158,2477,"2016-09-27",true,"SUPERZONE","System Campus","5-1440",,95158,2477,0,"2016-09-27","System Campus","00:00",95158,,,,,,,,
200,"application/json","00:00","2016-09-26","all","daily",149,93276,"2016-09-26","23:59","2017-01-05T19:45:59.476+04:00",93276,2477,"2016-09-26",true,"SUPERZONE","System Campus","5-1440",,93276,2477,0,"2016-09-26","System Campus","00:00",93276,,,,,,,,
200,"application/json","00:00","2016-09-25","all","daily",367,95455,"2016-09-25","23:59","2017-01-05T19:45:59.476+04:00",95455,2477,"2016-09-25",true,"SUPERZONE","System Campus","5-1440",,95455,2477,0,"2016-09-25","System Campus","00:00",95455,,,,,,,,
200,"application/json","00:00","2016-09-24","all","daily",145,102234,"2016-09-24","23:59","2017-01-05T19:45:59.476+04:00",102234,2477,"2016-09-24",true,"SUPERZONE","System Campus","5-1440",,102234,2477,0,"2016-09-24","System Campus","00:00",102234,,,,,,,,
200,"application/json","00:00","2016-09-23","all","daily",139,105036,"2016-09-23","23:59","2017-01-05T19:45:59.476+04:00",105036,2477,"2016-09-23",true,"SUPERZONE","System Campus","5-1440",,105036,2477,0,"2016-09-23","System Campus","00:00",105036,,,,,,,,
